UWOPS919171	0.615614	0.496348	0.369274	40.2767	24.8493	13.5786
UFRJ50816	0.684202	0.486437	0.380842	18.4513	17.6778	11.1049
YPS138	0.567446	0.420564	0.32124	35.248	23.733	16.5088
N44	0.608339	0.476816	0.395546	34.168	25.496	19.0106
CBS432	0.613087	0.54472	0.383887	30.7141	28.5756	13.9718
UWOPS034614	0.589416	0.574768	0.371878	34.1895	29.9306	15.2959
YPS128	0.805285	0.816902	0.677659	24.1972	23.44	15.757
Y12	0.765684	0.663028	0.527523	34.914	27.8859	12.4789
SK1	0.743074	0.719235	0.575066	30.7821	29.4618	14.5595
DBVPG6765	0.644313	0.526513	0.367687	37.2522	27.5151	13.3816
DBVPG6044	0.651337	0.632857	0.517518	27.2225	25.9663	15.3934
